IDX,발화자,발화문,카테고리,QA번호,QA여부,감성,인텐트,가격,수량,크기,장소,조직,사람,시간,날짜,상품명,상담번호,상담내순번
1,s,그래서 그럴수도 있겠네요 정형외과 약을 많이 드시면 위가 상해서 역류할 순 있거든요 그래도 약을 드셔야될텐데요 지금 상태가 심하신거고 몇일 지났다는거죠?,병원,8,q,m,제품_일반_확인,,,,,,,,,,5455,15
2,c,네,병원,8,a,m,제품_일반_확인,,,,,,,,,,5455,16
3,s,일반 밴드 찾으시는거죠?,병원,16,q,m,제품_일반_확인,,,,,,,,,밴드,5711,33
4,c,네,병원,16,a,m,제품_일반_확인,,,,,,,,,,5711,34
5,s,건선이네요 발 등만 그런가요?,병원,43,q,m,제품_일반_확인,,,,,,,,,,5711,87
6,c,네 다른 데서는 못 봤어요,병원,43,a,m,제품_일반_확인,,,,,,,,,,5711,88
7,c,건선이라고 하셨지요?,병원,47,q,m,제품_일반_확인,,,,,,,,,,5711,99
8,s,네 그런 걸 다 건선이라고 통칭해요,병원,47,a,m,제품_일반_확인,,,,,,,,,,5711,100
9,s,근데 그렇게 까지 안하셔도 돼요 발 등이라고 하셨지요?,병원,54,q,m,제품_일반_확인,,,,,,,,,,5711,115
10,c,네,병원,54,a,m,제품_일반_확인,,,,,,,,,,5711,116
11,s,보이는 곳도 아닌데요 그래도 원하시면 하나 드릴까요?,병원,54,q,m,제품_일반_확인,,,,,,,,,,5711,117
12,c,아 아니요,병원,54,a,m,제품_일반_확인,,,,,,,,,,5711,118
13,s,사람으로 비유하면 사람도 한가지만 먹고 살수는 없잖아요 강아지도 마찬가지예요 사료만 먹다가 맛있는걸 먹으면 밥을 안먹게 되죠,병원,5,q,m,제품_일반_확인,,,,,,,,,사료,5582,7
14,c,아 그럼 고기나 간식을 안주면 될까요?,병원,5,a,m,제품_일반_확인,,,,,,,,,고기|간식,5582,8
15,s,네 그게 제일 좋은 방법이지만 갑자기 안주면 강아지가 밥을 더 안먹을 수가있어요,병원,6,q,m,제품_일반_확인,,,,,,,,,,5582,9
16,c,그럼 어떡해야되요?,병원,6,a,m,제품_일반_확인,,,,,,,,,,5582,10
17,s,훈련을 조금씩 시키면서 말을 잘 들었을때만 보상으로 간식을 주세요,병원,7,q,m,제품_일반_확인,,,,,,,,,간식,5582,11
18,c,그럼 지금은요?,병원,7,a,m,제품_일반_확인,,,,,,,,,,5582,12
19,s,지금은 사료를 줘도 안먹으면 간식하고 섞어서 줘보세요,병원,8,q,m,제품_일반_확인,,,,,,,,,사료|간식,5582,13
20,c,그렇게 해봤는데 간식만 골라먹어요 그래서 속상하네요 진짜 어쩌면 좋아요?,병원,8,a,m,제품_일반_확인,,,,,,,,,간식,5582,14
21,s,어쩔 수 없어요 계속해서 방식을 조금씩 바꿔야되요,병원,9,q,m,제품_일반_확인,,,,,,,,,,5582,15
22,c,어떡해 바꿔요?,병원,9,a,m,제품_일반_확인,,,,,,,,,,5582,16
23,s,네 강아지도 자기가 밥을 안먹으면 주인이 계속 간식이랑 고기를 주는걸 아니까 더 안먹는건데 그럴땐 똑같이 주지 마시고 신경을 안쓰면 되요,병원,12,q,m,제품_일반_확인,,,,,,,,,간식|고기,5582,21
24,c,신경을 쓰지 마라고요?,병원,12,a,m,제품_일반_확인,,,,,,,,,,5582,22
25,s,보이는 곳도 아닌데요 햇빛 안보면 더 금방 없어질테고 그래도 원하시면 하나 드릴까요?,병원,64,q,m,제품_일반_확인,,,,,,,,,,5751,126
26,c,아 아니요,병원,64,a,m,제품_일반_확인,,,,,,,,,,5751,127
27,s,신장이 안좋다고 하셨죠?,병원,13,q,m,제품_일반_확인,,,,,,,,,,3640,25
28,c,치료받고 좀 좋아졌어요,병원,13,a,m,제품_일반_확인,,,,,,,,,,3640,26
29,c,만성이에요  매년 한쪽귀가 번갈아 염증이 생기거든요 십년째 발병을 안하다가 올해 다시 발병을 한거에요 . 그얘길 했더니 바꿔준거에요 그래서 궁금해서 물어본거에요,병원,6,q,m,제품_일반_확인,,,,,,,,,,2098,11
30,s,그렇죠 그전거보단 성분이 다르고 잘,병원,6,a,m,제품_일반_확인,,,,,,,,,,2098,12
31,s,인공첨가물도 안 들어가서 일반 과자랑은 많이 달라요,병원,39,q,m,제품_일반_확인,,,,,,,,,과자,5138,65
32,c,오 그럼 영양성분좀 알려 주실 수 있나요?,병원,39,q,m,제품_일반_확인,,,,,,,,,,5138,66
33,s,제일 중요한 단백질은 15g 탄수화물 3g 지방 0.9g들어있어요,병원,39,a,m,제품_일반_확인,,,,,,,,,,5138,67
34,s,요새 막 간식이 좀 땡기더라고요,병원,22,q,m,제품_일반_확인,,,,,,,,,,3037,40
35,c,"네, 그러시군요?",병원,22,a,m,제품_일반_확인,,,,,,,,,,3037,41
36,s,근데 많이 먹진 않거든요,병원,23,q,m,제품_일반_확인,,,,,,,,,,3037,42
37,s,근데 이게 이상하게 괜찮다가요 저번 주에 잠이 안 오더라고요,병원,26,q,m,제품_일반_확인,,,,,,,,,,3037,46
38,c,아,병원,26,a,m,제품_일반_확인,,,,,,,,,,3037,47
39,s,맞아요. 제가요 보통 어떨 때는 막 두세 시에 잘 때가 있어요. 그럼 아홉시에 먹,병원,32,q,m,제품_일반_확인,,,,,,,,,,3037,55
40,c,고건 상관 없어요,병원,32,a,m,제품_일반_확인,,,,,,,,,,3037,56
41,s,옷이요?,병원,3,q,m,제품_일반_확인,,,,,,,,,옷,2504,2
42,c,네,병원,3,a,m,제품_일반_확인,,,,,,,,,,2504,3
43,c,아 그래요?,병원,35,q,m,제품_일반_확인,,,,,,,,,,2504,63
44,s,네 옷 색을 보고 알지는 못해요,병원,35,a,m,제품_일반_확인,,,,,,,,,옷,2504,64
45,s,글쵸,병원,65,q,m,제품_일반_확인,,,,,,,,,,2504,113
46,c,흠 그럴라나,병원,146,q,m,제품_일반_확인,,,,,,,,,,2504,270
47,s,네 그래요,병원,146,a,m,제품_일반_확인,,,,,,,,,,2504,271
48,s,아까 전화로 문의 하셨던 분이시네요,병원,3,q,m,제품_일반_확인,,,,,,,,,,3794,5
49,s,그럼 여기서도 처음에만 낮설어하지 잘 할거에요,병원,8,q,m,제품_일반_확인,,,,,,,,,,3794,14
50,c,그러겠죠?,병원,8,a,m,제품_일반_확인,,,,,,,,,,3794,15
51,s,땅콩이 친구들하고 노는거 보니까 괜찮은거 같은데요,병원,9,q,m,제품_일반_확인,,,,,,,,,,3794,16
52,s,보호자님이 괜한 걱정하시는거 같네요,병원,9,q,m,제품_일반_확인,,,,,,,,,,3794,17
53,c,그런거 같네요,병원,9,a,m,제품_일반_확인,,,,,,,,,,3794,18
54,s,그러면 앞에 아이 끝나고 해드릴게요,병원,24,q,m,제품_일반_확인,,,,,,,,,,3794,48
55,s,커피랑 과자 준비 되어 있으니까 드시고 싶은걸로 드세요,병원,26,q,m,제품_일반_확인,,,,,,,,,,3794,51
56,c,네 감사합니다,병원,26,a,m,제품_일반_확인,,,,,,,,,,3794,52
57,s,목욕은 안쪽에서 하기때문에 여기서 보이지 않아요,병원,30,q,m,제품_일반_확인,,,,,,,,,목욕,3794,59
58,c,알겠어요,병원,30,a,m,제품_일반_확인,,,,,,,,,,3794,60
59,s,네 그럼 이샴푸로 하시면 되겠네요,병원,6,q,m,제품_일반_확인,,,,,,,,,,2596,11
60,c,네 그럼 이걸로 할게요,병원,6,a,m,제품_일반_확인,,,,,,,,,,2596,12
61,c,네 겨울이라 강아지 방에서 추워하는것 같아서요,병원,24,q,m,제품_일반_확인,,,,,,,,,,2596,47
62,s,네,병원,24,a,m,제품_일반_확인,,,,,,,,,,2596,48
63,s,일주일분입니다,병원,10,q,m,제품_일반_확인,,,,,,,,,,453,19
64,s,저한테 혜택이 있죠,병원,52,q,m,제품_일반_확인,,,,,,,,,,2625,128
65,s,만약에 가입을안하고 구입하시면 저한테 쌓이는 거라서,병원,52,q,m,제품_일반_확인,,,,,,,,,,2625,129
66,s,하실수 있으면 가입을 하시고 구매하시는게 좋다고 말씀 드렸던거고,병원,52,q,m,제품_일반_확인,,,,,,,,,,2625,130
67,c,네,병원,52,a,m,제품_일반_확인,,,,,,,,,,2625,131
68,c,하면은 선생님이 말씀을 잘해주셔가지고,병원,53,q,m,제품_일반_확인,,,,,,,,,,2625,132
69,c,구입을 할께요,병원,53,q,m,제품_일반_확인,,,,,,,,,,2625,133
70,c,가입따로 안하고 복잡하시도 하고,병원,53,q,m,제품_일반_확인,,,,,,,,,,2625,134
71,s,아 네네네,병원,53,a,m,제품_일반_확인,,,,,,,,,,2625,135
72,c,그럼제가 정리해서 문자를 드리던지,병원,57,q,m,제품_일반_확인,,,,,,,,,,2625,143
73,s,아 네네 알겠습니다,병원,57,a,m,제품_일반_확인,,,,,,,,,,2625,144
74,s,강아지는 저번에도 본것 같은데 너 눈이 엄청 순하게 생겼구나,병원,5,q,m,제품_일반_확인,,,,,,,,,강아지,2521,12
75,c,아니에요 엄청 짖어서,병원,5,a,m,제품_일반_확인,,,,,,,,,,2521,13
76,s,아 그래요 안그래보이는데,병원,6,q,m,제품_일반_확인,,,,,,,,,,2521,14
77,c,심하게 짖어요,병원,6,a,m,제품_일반_확인,,,,,,,,,,2521,15
78,s,네 약 이틀치 나왔구요 파란 게 알레르기비염약입니다,병원,7,q,m,제품_일반_확인,,,,,,,,,알레르기비염약,2521,16
79,c,네 감사합니다,병원,7,a,m,제품_일반_확인,,,,,,,,,,2521,17
80,c,일반적인 비타민이고,병원,19,q,m,제품_일반_확인,,,,,,,,,비타민,2845,52
81,s,네 맞습니다. 좀 더 기능적으로,병원,19,a,m,제품_일반_확인,,,,,,,,,,2845,53
82,c,여자들 거는 뭐 그러면 일단 이것도 종류는 모르겠는데,병원,27,q,m,제품_일반_확인,,,,,,,,,,2845,75
83,c,일단 가격이랑 이게 비슷하니까 여자 남자 각각으로 종합으로 먹으면 되겠네,병원,27,q,m,제품_일반_확인,,,,,,,,,,2845,76
84,s,네 그렇죠 그렇죠,병원,27,a,m,제품_일반_확인,,,,,,,,,,2845,77
85,c,저는 이제 칼슘이랑 철이랑 헷갈렸는데,병원,32,q,m,제품_일반_확인,,,,,,,,,칼슘|철,2845,90
86,c,이게 따로 따로 들어 있는 거구나,병원,32,q,m,제품_일반_확인,,,,,,,,,,2845,91
87,s,네 그렇습니다,병원,32,a,m,제품_일반_확인,,,,,,,,,,2845,92
88,s,아 아까 루테인3개 말씀하셨죠?,병원,58,q,m,제품_일반_확인,,3개,,,,,,,루테인,2845,174
89,c,네 3개,병원,58,a,m,제품_일반_확인,,3개,,,,,,,,2845,175
90,c,연세가 있다보니 아버님은 눈이 잘 안보인다 하세요,병원,6,q,m,제품_일반_확인,,,,,,,,,,2041,15
91,s,그러세요,병원,6,a,m,제품_일반_확인,,,,,,,,,,2041,16
92,c,계속 꾸준히 먹어야 하는 거라,병원,26,q,m,제품_일반_확인,,,,,,,,,,2041,55
93,s,그럼 요 식품으로 드릴께요,병원,26,a,m,제품_일반_확인,,,,,,,,,,2041,56
94,c,요즘 아버님이 변비가 심하다고 하시던데,병원,27,q,m,제품_일반_확인,,,,,,,,,,2041,57
95,s,변비가 심하신면 유산균도 함께 드셔 보세요,병원,27,a,m,제품_일반_확인,,,,,,,,,,2041,58
96,c,면역력이 많이 떨어 지시고 변비가 좀 있으세요,병원,28,q,m,제품_일반_확인,,,,,,,,,,2041,59
97,s,프로바이오틱스 드시나요,병원,28,a,m,제품_일반_확인,,,,,,,,,프로바이오틱스,2041,60
98,s,하루에 한번 드시는거라 이것도 편하시고요,병원,31,q,m,제품_일반_확인,,,,,,,,,,2041,65
99,c,네,병원,31,a,m,제품_일반_확인,,,,,,,,,,2041,66
100,s,한국인이 가장 부족한 영양소 1위가 칼슘이라고 하잖아요,병원,44,q,m,제품_일반_확인,,,,,,,,,,2041,91
101,c,아 그래요,병원,44,a,m,제품_일반_확인,,,,,,,,,,2041,92
102,s,아니시면 여유가 좀 되신다면 홍제식품들도 많이들 있구요,병원,59,q,m,제품_일반_확인,,,,,,,,,,2041,127
103,c,홍삼은 먹어보긴 했으나 꾸준히 먹기가 힘들더라구요,병원,59,a,m,제품_일반_확인,,,,,,,,,홍삼,2041,128
104,s,그렇게 쓰지 않으세요,병원,66,q,m,제품_일반_확인,,,,,,,,,,2041,142
105,s,여성분들은 화애락진 이라고 요즘 요 식품도 많이 드세요,병원,66,q,m,제품_일반_확인,,,,,,,,,,2041,143
106,c,네 많이 들어봤어요,병원,66,a,m,제품_일반_확인,,,,,,,,,,2041,144
107,c,아는 언니 딸이 요거먹고 살이 너무쩌서 걱정이라고 했던말 생각나요,병원,70,q,m,제품_일반_확인,,,,,,,,,,2041,151
108,s,그래요,병원,70,a,m,제품_일반_확인,,,,,,,,,,2041,152
109,s,먹기 힘든 용량이 아니라 괜찮아요,병원,80,q,m,제품_일반_확인,,,,,,,,,,2041,173
110,c,네~,병원,80,a,m,제품_일반_확인,,,,,,,,,,2041,174
111,s,커가는 아이들도 면연력이 진짜 중요하더라구요,병원,81,q,m,제품_일반_확인,,,,,,,,,,2041,175
112,c,그렇죠,병원,81,a,m,제품_일반_확인,,,,,,,,,,2041,176
113,c,우선 한달치만 먹이고 잘 먹으면 다시 올께요,병원,85,q,m,제품_일반_확인,,,,,,,,,,2041,183
114,s,네~ 알겠습니다,병원,85,a,m,제품_일반_확인,,,,,,,,,,2041,184
115,s,오늘하시면 3포 증정해 드리는데요,병원,87,q,m,제품_일반_확인,,3포,,,,,,,,2041,187
116,c,그래요,병원,87,a,m,제품_일반_확인,,,,,,,,,,2041,188
117,s,적당히 꾸준히 드시면 근육에 많이 도움이 될 거예요,병원,19,q,m,제품_일반_확인,,,,,,,,,,4363,42
118,c,그랬으면 좋겠어요,병원,19,a,m,제품_일반_확인,,,,,,,,,,4363,43
119,s,저희 가게가 이번에 마지막이라 특별히 손님한테만 서비스로 많이 드리는거예요 아까 샴푸도 사신다고 하셨죠?,병원,56,q,m,제품_일반_확인,,,,,,,,,샴푸,2325,95
120,c,네,병원,56,a,m,제품_일반_확인,,,,,,,,,,2325,96
121,s,이렇게 생긴 이동장을 켄넬이라고 하거든요?,병원,14,q,m,제품_일반_확인,,,,,,,,,켄넬|이동장,427,31
122,c,아 이런거요,병원,14,a,m,제품_일반_확인,,,,,,,,,,427,32
123,s,아 그래요?,병원,9,q,m,제품_일반_확인,,,,,,,,,,3398,16
124,c,네,병원,9,a,m,제품_일반_확인,,,,,,,,,,3398,17
125,s,아 대단하시네요,병원,32,q,m,제품_일반_확인,,,,,,,,,,3398,65
126,c,혹시 목마를까 걱정되서요,병원,32,a,m,제품_일반_확인,,,,,,,,,,3398,66
127,c,아 차라리 그게 좋겠네요,병원,36,q,m,제품_일반_확인,,,,,,,,,,3398,74
128,s,그렇죠,병원,36,a,m,제품_일반_확인,,,,,,,,,,3398,75
129,c,맞아요 저희도 그랬어요,병원,45,q,m,제품_일반_확인,,,,,,,,,,3398,100
130,s,그후에 손님들이,병원,45,a,m,제품_일반_확인,,,,,,,,,,3398,101
131,s,몇년 지나면 워낙 사료가 좋은것들이 많이나오니,병원,45,a,m,제품_일반_확인,,,,,,,,,사료,3398,102
132,s,강아지 입맛에 맞는걸로 갈아타시더라구요,병원,45,a,m,제품_일반_확인,,,,,,,,,,3398,103
133,c,그러니까요,병원,46,q,m,제품_일반_확인,,,,,,,,,,3398,104
134,s,네 대부분 그러세요,병원,46,a,m,제품_일반_확인,,,,,,,,,,3398,105
135,c,저흰 팔 년간 로얄케닌만 먹여서,병원,47,q,m,제품_일반_확인,,,,,,,,,로얄케닌,3398,106
136,s,그래요?,병원,48,q,m,제품_일반_확인,,,,,,,,,,3398,107
137,c,네,병원,48,a,m,제품_일반_확인,,,,,,,,,,3398,108
138,c,아 그렇군요,병원,85,q,m,제품_일반_확인,,,,,,,,,,3398,212
139,s,서울우유는 한 종류이고,병원,85,a,m,제품_일반_확인,,,,,,,,,서울우유,3398,213
140,s,닥터할리는 여러종류가 있어요,병원,85,a,m,제품_일반_확인,,,,,,,,,닥터할리,3398,214
141,c,서울우유걸로 사는게 좋을것 같긴하네요,병원,109,q,m,제품_일반_확인,,,,,,,,,서울우유,3398,277
142,s,네 아무래도요,병원,109,a,m,제품_일반_확인,,,,,,,,,,3398,278
143,s,글쎄요 간식 종류가 워낙 많아서,병원,138,q,m,제품_일반_확인,,,,,,,,,간식,3398,348
144,c,한번 둘러볼께요,병원,138,a,m,제품_일반_확인,,,,,,,,,,3398,349
145,s,네 천천히 보세요,병원,139,q,m,제품_일반_확인,,,,,,,,,,3398,350
146,c,이거 같긴한데,병원,139,a,m,제품_일반_확인,,,,,,,,,,3398,351
147,c,아 이건 머리 잘썼네요,병원,157,q,m,제품_일반_확인,,,,,,,,,,3398,391
148,s,그렇죠 흐흐,병원,157,a,m,제품_일반_확인,,,,,,,,,,3398,392
149,s,개껌이요?,병원,162,q,m,제품_일반_확인,,,,,,,,,개껌,3398,403
150,c,네,병원,162,a,m,제품_일반_확인,,,,,,,,,,3398,404
151,s,아 그래요?,병원,164,q,m,제품_일반_확인,,,,,,,,,,3398,407
152,c,네,병원,164,a,m,제품_일반_확인,,,,,,,,,,3398,408
153,s,꽈베기 미니요?,병원,206,q,m,제품_일반_확인,,,,,,,,,꽈베기 미니,3398,507
154,c,그렇겠네요,병원,209,q,m,제품_일반_확인,,,,,,,,,,3398,516
155,s,강아지한테 안좋을 해요,병원,209,a,m,제품_일반_확인,,,,,,,,,,3398,517
156,c,흠 진작 알았으면 이걸로 사줬을텐데,병원,210,q,m,제품_일반_확인,,,,,,,,,,3398,518
157,s,지금이라도 바꾸시면되죠,병원,210,a,m,제품_일반_확인,,,,,,,,,,3398,519
158,s,명태포요?,병원,258,q,m,제품_일반_확인,,,,,,,,,명태포,3398,648
159,c,네,병원,258,a,m,제품_일반_확인,,,,,,,,,,3398,649
160,c,사람은 돈 없어서 집에서 라면 끓여 먹는데,병원,285,q,m,제품_일반_확인,,,,,,,,,,3398,709
